user_id,source,category
b18d58560b,email,email
9e7e01d962,email,email
a9e40d48d8,email,email
f625b6856e,email,email
06bf009206,email,email
272df43ad8,email,email
2824221f38,email,email
ce8edd5e66,email,email
fb525c6833,email,email
4f89517c22,email,email
ade008549c,email,email
90828909b6,email,email
9ce21f2533,email,email
e8447c40e2,email,email
d79e2450d9,email,email
520c78ab21,email,email
4194e38197,email,email
d843aa8650,email,email
bc5466ac11,email,email
56a09e6d35,email,email
63dab1e216,email,email
94e4290bd3,email,email
c437c43185,email,email
0a379cc2cc,email,email
315d771f7d,email,email
fca0f5999d,email,email
703331b3ff,email,email
484d9d415d,email,email
43c2e52247,email,email
a56479bc42,email,email
0b8cdff7d7,email,email
5c855e4d01,email,email
2530e0a720,email,email
6a1d73ae0d,email,email
c6e4e4c023,email,email
f9544da511,email,email
26b2dc244d,email,email
696aa72183,email,email
eb1a094c7a,email,email
9502354167,email,email
6a8375072f,email,email
d8878dc497,email,email
7c36bcbda4,email,email
e59f065331,email,email
e0fcb18f1d,undef,undef
dd7a767d23,email,email
8a4f100355,email,email
a4c3f5cb85,email,email
5d3de47516,email,email
e5a8a616cb,email,email
88b590fb96,email,email
ee9eb52181,email,email
e6ab4248a6,email,email
2809cffb2b,email,email
d2a78f8672,email,email
784173d059,email,email
bcf26927e6,email,email
e5c4eb19c0,email,email
6cb42b2632,email,email
8f39e3324d,email,email
b30a4291ab,email,email
7d0c362d0c,email,email
9a93f2694f,email,email
7d3ff48eab,email,email
d37cf64bdf,email,email
40fe35eb76,email,email
9ca11a651f,email,email
37498709fa,email,email
78dd1fe2c9,email,email
16dd5b62a5,email,email
a14c7bf255,email,email
43e380b806,email,email
7934516b6c,email,email
e54ae83dfc,email,email
f3b0505787,email,email
9fb1e6bce7,email,email
c6ea5b3cb3,email,email
2bfec76067,email,email
e07b13abd0,email,email
134e3cd3df,email,email
761e18b2b6,email,email
fa5672f955,email,email
20b5375793,email,email
9b0142f532,email,email
5edc261e5e,email,email
9665b8687a,email,email
3914638ebc,email,email
522199e241,email,email
bcdbabfaa1,email,email
7dfb3cca6d,email,email
d15327eae3,email,email
39aec4ae21,email,email
6fd812e07a,email,email
fa6cc8417b,email,email
79f9463cef,email,email
a733efd26e,email,email
a132696875,email,email
a2cbc41bba,email,email
a2767b3f2c,email,email
a4cc483e05,email,email
09c8a0f00c,email,email
5bcd22f1cd,email,email
c7df9ad2af,email,email
e0a2a21a06,email,email
72c1e46d8a,email,email
1562c35740,email,email
9b852eb280,email,email
